,artist,artist_name,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name
16,Ariana Grande,Ariana Grande,2023,0.639,0.721,1,-3.414,1,0.0782,0.038,0,0.365,0.538,102.065,Baby I - Live from London
17,Ariana Grande,Ariana Grande,2023,0.517,0.451,7,-4.871,1,0.0266,0.135,0,0.12,0.277,71.939,Tattooed Heart - Live from London
18,Ariana Grande,Ariana Grande,2023,0.494,0.75,7,-4.068,1,0.174,0.0306,0,0.102,0.36,106.367,Right There - Live from London (feat. Big Sean)
19,Ariana Grande,Ariana Grande,2023,0.594,0.869,5,-3.213,0,0.0887,0.135,0,0.0907,0.694,165.08,The Way - Live from London (feat. Mac Miller)
20,Ariana Grande,Ariana Grande,2021,0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698,shut up
21,Ariana Grande,Ariana Grande,2021,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,34+35
22,Ariana Grande,Ariana Grande,2021,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,motive (with Doja Cat)
23,Ariana Grande,Ariana Grande,2021,0.719,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.464,128.006,just like magic
24,Ariana Grande,Ariana Grande,2021,0.411,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.382,88.332,off the table (with The Weeknd)
25,Ariana Grande,Ariana Grande,2021,0.739,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.434,120.109,six thirty
26,Ariana Grande,Ariana Grande,2021,0.552,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0916,161.884,safety net (feat. Ty Dolla $ign)
27,Ariana Grande,Ariana Grande,2021,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75E-06,0.144,0.372,92.013,my hair
28,Ariana Grande,Ariana Grande,2021,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1E-05,0.182,0.456,127.894,nasty
29,Ariana Grande,Ariana Grande,2021,0.688,0.455,11,-8.632,0,0.199,0.186,0,0.0794,0.557,87.865,west side
30,Ariana Grande,Ariana Grande,2021,0.688,0.573,10,-5.03,0,0.208,0.0686,0,0.0749,0.553,110.034,love language
31,Ariana Grande,Ariana Grande,2021,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,positions
32,Ariana Grande,Ariana Grande,2021,0.624,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.26,159.852,obvious
33,Ariana Grande,Ariana Grande,2021,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798,pov
34,Ariana Grande,Ariana Grande,2021,0.639,0.544,5,-9.5,0,0.0383,0.175,2.44E-05,0.14,0.179,118.158,someone like u - interlude
35,Ariana Grande,Ariana Grande,2021,0.698,0.708,9,-4.943,0,0.0454,0.0251,0,0.124,0.322,115.036,test drive
36,Ariana Grande,Ariana Grande,2021,0.659,0.662,5,-5.768,1,0.434,0.211,0,0.228,0.704,109.957,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix"
37,Ariana Grande,Ariana Grande,2021,0.726,0.667,5,-5.956,0,0.0617,0.37,0,0.118,0.434,100.053,worst behavior
38,Ariana Grande,Ariana Grande,2021,0.734,0.475,9,-7.77,1,0.0403,0.317,1.41E-06,0.113,0.217,134.119,main thing
39,Ariana Grande,Ariana Grande,2020,0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698,shut up
40,Ariana Grande,Ariana Grande,2020,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,34+35
41,Ariana Grande,Ariana Grande,2020,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,motive (with Doja Cat)
42,Ariana Grande,Ariana Grande,2020,0.719,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.464,128.006,just like magic
43,Ariana Grande,Ariana Grande,2020,0.411,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.382,88.332,off the table (with The Weeknd)
44,Ariana Grande,Ariana Grande,2020,0.739,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.434,120.109,six thirty
45,Ariana Grande,Ariana Grande,2020,0.552,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0916,161.884,safety net (feat. Ty Dolla $ign)
46,Ariana Grande,Ariana Grande,2020,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75E-06,0.144,0.372,92.013,my hair
47,Ariana Grande,Ariana Grande,2020,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1E-05,0.182,0.456,127.894,nasty
48,Ariana Grande,Ariana Grande,2020,0.688,0.455,11,-8.632,0,0.199,0.186,0,0.0794,0.557,87.865,west side
49,Ariana Grande,Ariana Grande,2020,0.688,0.573,10,-5.03,0,0.208,0.0686,0,0.0749,0.553,110.034,love language
50,Ariana Grande,Ariana Grande,2020,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,positions
51,Ariana Grande,Ariana Grande,2020,0.624,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.26,159.852,obvious
52,Ariana Grande,Ariana Grande,2020,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798,pov
53,Ariana Grande,Ariana Grande,2019,0.239,0.408,6,-13.623,1,0.06,0.884,0.0318,0.68,0.161,72.138,raindrops (an angel cried) - live
54,Ariana Grande,Ariana Grande,2019,0.498,0.836,10,-5.224,0,0.0669,0.158,6.59E-06,0.971,0.279,144.882,god is a woman - live
55,Ariana Grande,Ariana Grande,2019,0.674,0.816,3,-4.387,0,0.0416,0.0392,1.56E-05,0.342,0.501,137.976,bad idea - live
56,Ariana Grande,Ariana Grande,2019,0.593,0.737,5,-5.102,0,0.0475,0.0162,1.55E-05,0.975,0.238,84.87,"break up with your girlfriend, i'm bored - live"
57,Ariana Grande,Ariana Grande,2019,0.705,0.554,10,-9.628,0,0.0551,0.321,9.26E-06,0.978,0.611,80.042,r.e.m - live
58,Ariana Grande,Ariana Grande,2019,0.713,0.707,1,-5.947,0,0.0403,0.155,2.12E-06,0.956,0.366,112.929,be alright - live
59,Ariana Grande,Ariana Grande,2019,0.655,0.7,4,-4.242,1,0.0789,0.158,1.25E-06,0.877,0.529,119.835,sweetener - live
60,Ariana Grande,Ariana Grande,2019,0.758,0.883,7,-3.989,0,0.0608,0.0879,3.54E-05,0.24,0.736,114.021,successful - live
61,Ariana Grande,Ariana Grande,2019,0.515,0.865,6,-4.065,0,0.161,0.0251,5.59E-05,0.971,0.372,158.053,side to side - live
62,Ariana Grande,Ariana Grande,2019,0.443,0.739,9,-6.509,1,0.209,0.226,0.000378,0.961,0.146,139.829,7 rings - live
63,Ariana Grande,Ariana Grande,2019,0.448,0.71,1,-5.095,0,0.0578,0.196,0,0.638,0.273,104.024,love me harder - live
64,Ariana Grande,Ariana Grande,2019,0.322,0.874,8,-2.893,1,0.2,0.0454,2.27E-06,0.945,0.171,98.089,breathin - live
65,Ariana Grande,Ariana Grande,2019,0.317,0.474,7,-6.314,0,0.0661,0.699,0,0.945,0.318,76.592,needy - live
66,Ariana Grande,Ariana Grande,2019,0.395,0.735,9,-4.559,1,0.226,0.109,1.66E-06,0.353,0.177,83.143,fake smile - live
67,Ariana Grande,Ariana Grande,2019,0.717,0.768,7,-4.554,1,0.137,0.145,4.3E-06,0.0741,0.472,104.973,make up - live
68,Ariana Grande,Ariana Grande,2019,0.613,0.802,7,-4.473,1,0.171,0.0407,0,0.92,0.271,79.514,right there - live
69,Ariana Grande,Ariana Grande,2019,0.767,0.92,1,-3.445,1,0.0997,0.0673,1.96E-06,0.375,0.598,104.9,you'll never know - live
70,Ariana Grande,Ariana Grande,2019,0.743,0.85,11,-4.686,1,0.0595,0.0501,0,0.942,0.657,98.026,break your heart right back - live
71,Ariana Grande,Ariana Grande,2019,0.648,0.621,6,-5.831,1,0.179,0.207,2.73E-05,0.918,0.371,76.002,nasa - live
72,Ariana Grande,Ariana Grande,2019,0.358,0.639,7,-4.938,1,0.0382,0.257,0,0.964,0.314,103.289,tattooed heart - live
73,Ariana Grande,Ariana Grande,2019,0.615,0.945,9,-5.607,0,0.259,0.273,0,0.962,0.45,101.502,only 1 - live
74,Ariana Grande,Ariana Grande,2019,0.603,0.611,1,-4.177,1,0.0322,0.158,0,0.944,0.158,111.02,goodnight n go - live
75,Ariana Grande,Ariana Grande,2019,0.639,0.625,7,-4.932,1,0.0509,0.333,0,0.398,0.482,100.015,get well soon - live
76,Ariana Grande,Ariana Grande,2019,0.673,0.783,0,-6.997,1,0.0521,0.0421,0.238,0.352,0.324,136.822,in my head interlude - live
77,Ariana Grande,Ariana Grande,2019,0.239,0.676,10,-4.868,0,0.0613,0.0419,6.98E-06,0.551,0.198,73.373,everytime - live
78,Ariana Grande,Ariana Grande,2019,0.762,0.882,7,-3.814,1,0.072,0.00339,0.000326,0.277,0.597,99.044,the light is coming - live
79,Ariana Grande,Ariana Grande,2019,0.59,0.871,6,-3.665,0,0.113,0.073,0.000128,0.364,0.234,109.869,into you - live
80,Ariana Grande,Ariana Grande,2019,0.479,0.591,7,-9.129,1,0.0508,0.136,1.16E-06,0.463,0.551,102.174,my heart belongs to daddy - live
81,Ariana Grande,Ariana Grande,2019,0.407,0.826,4,-3.443,0,0.0926,0.086,1.21E-06,0.979,0.277,133.942,dangerous woman - live
82,Ariana Grande,Ariana Grande,2019,0.626,0.769,3,-3.512,1,0.0513,0.00926,0.00097,0.95,0.255,130.044,break free - live
83,Ariana Grande,Ariana Grande,2019,0.652,0.791,0,-4.623,1,0.0655,0.467,1.45E-06,0.967,0.383,121.922,no tears left to cry - live
84,Ariana Grande,Ariana Grande,2019,0.43,0.811,1,-5.511,1,0.101,0.027,0.0034,0.95,0.223,107.036,"thank u, next - live"
85,Ariana Grande,Ariana Grande,2019,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,imagine
86,Ariana Grande,Ariana Grande,2019,0.647,0.309,7,-7.948,0,0.0366,0.78,7.41E-06,0.202,0.195,87.045,needy
87,Ariana Grande,Ariana Grande,2019,0.747,0.458,6,-6.891,1,0.303,0.451,0,0.252,0.47,75.029,NASA
88,Ariana Grande,Ariana Grande,2019,0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,bloodline
89,Ariana Grande,Ariana Grande,2019,0.45,0.619,9,-7.412,1,0.372,0.329,0,0.319,0.427,83.3,fake smile
90,Ariana Grande,Ariana Grande,2019,0.847,0.579,1,-5.314,1,0.0719,0.0268,0.0545,0.102,0.569,137.998,bad idea
91,Ariana Grande,Ariana Grande,2019,0.671,0.714,7,-5.373,1,0.21,0.0844,1.48E-06,0.0568,0.477,105.137,make up
92,Ariana Grande,Ariana Grande,2019,0.287,0.364,9,-8.295,1,0.0306,0.418,1.8E-05,0.185,0.11,103.777,ghostin
93,Ariana Grande,Ariana Grande,2019,0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,in my head
94,Ariana Grande,Ariana Grande,2019,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,7 rings
95,Ariana Grande,Ariana Grande,2019,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,"thank u, next"
96,Ariana Grande,Ariana Grande,2019,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,"break up with your girlfriend, i'm bored"
97,Ariana Grande,Ariana Grande,2018,0.336,0.231,1,-6.217,1,0.0497,0.942,0,0.188,0.429,168.685,raindrops (an angel cried)
98,Ariana Grande,Ariana Grande,2018,0.795,0.759,6,-6.348,1,0.0528,0.0793,0,0.0805,0.855,110.021,blazed (feat. Pharrell Williams)
99,Ariana Grande,Ariana Grande,2018,0.877,0.547,7,-5.705,1,0.18,0.0122,1.51E-05,0.028,0.687,99.034,the light is coming (feat. Nicki Minaj)
100,Ariana Grande,Ariana Grande,2018,0.831,0.485,10,-6.677,0,0.15,0.375,1.47E-05,0.118,0.622,80.022,R.E.M
101,Ariana Grande,Ariana Grande,2018,0.602,0.658,1,-5.934,1,0.0558,0.0233,6E-05,0.237,0.268,145.031,God is a woman
102,Ariana Grande,Ariana Grande,2018,0.721,0.459,4,-6.408,1,0.032,0.248,0,0.212,0.46,119.914,sweetener
103,Ariana Grande,Ariana Grande,2018,0.847,0.603,0,-4.607,0,0.0397,0.107,7.4E-06,0.106,0.735,114.045,successful
104,Ariana Grande,Ariana Grande,2018,0.71,0.614,10,-6.757,0,0.0431,0.186,0,0.0974,0.658,148.152,everytime
105,Ariana Grande,Ariana Grande,2018,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37E-05,0.213,0.364,100.049,breathin
106,Ariana Grande,Ariana Grande,2018,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11E-06,0.294,0.354,121.993,no tears left to cry
107,Ariana Grande,Ariana Grande,2018,0.761,0.818,6,-5.238,0,0.0978,0.058,0,0.11,0.348,110.99,borderline (feat. Missy Elliott)
108,Ariana Grande,Ariana Grande,2018,0.597,0.524,11,-7.247,1,0.0537,0.216,0,0.112,0.0549,92.568,better off
109,Ariana Grande,Ariana Grande,2018,0.708,0.454,1,-7.07,1,0.0395,0.0217,0,0.073,0.24,110.963,goodnight n go
110,Ariana Grande,Ariana Grande,2018,0.652,0.31,4,-10.212,1,0.0509,0.43,1.16E-05,0.182,0.304,119.913,pete davidson
111,Ariana Grande,Ariana Grande,2018,0.604,0.449,9,-6.564,0,0.0353,0.657,0,0.0932,0.528,100.355,get well soon
112,Ariana Grande,Ariana Grande,2016,0.633,0.412,9,-7.339,1,0.0284,0.42,3.57E-06,0.048,0.214,102.215,Moonlight
113,Ariana Grande,Ariana Grande,2016,0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,Dangerous Woman
114,Ariana Grande,Ariana Grande,2016,0.813,0.456,1,-7.667,0,0.0684,0.169,2.86E-06,0.105,0.587,108.801,Be Alright
115,Ariana Grande,Ariana Grande,2016,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75E-06,0.145,0.37,107.853,Into You
116,Ariana Grande,Ariana Grande,2016,0.644,0.723,6,-6.278,0,0.231,0.0198,0,0.228,0.616,159.17,Side To Side
117,Ariana Grande,Ariana Grande,2016,0.527,0.435,2,-8.363,1,0.129,0.0295,0,0.243,0.0781,102.698,Let Me Love You
118,Ariana Grande,Ariana Grande,2016,0.59,0.704,1,-5.303,1,0.114,0.0367,0,0.0984,0.856,109.826,Greedy
119,Ariana Grande,Ariana Grande,2016,0.445,0.446,8,-7.468,0,0.0312,0.599,2.21E-05,0.339,0.389,90.927,Leave Me Lonely
120,Ariana Grande,Ariana Grande,2016,0.637,0.733,7,-4.413,0,0.0563,0.0149,0,0.162,0.431,131.004,Everyday
121,Ariana Grande,Ariana Grande,2016,0.397,0.666,1,-5.383,0,0.248,0.0907,0,0.344,0.568,77.915,Sometimes
122,Ariana Grande,Ariana Grande,2016,0.591,0.403,0,-8.284,1,0.0431,0.728,1.37E-06,0.153,0.288,111.934,I Don't Care
123,Ariana Grande,Ariana Grande,2016,0.698,0.645,4,-5.368,0,0.0416,0.0146,0,0.269,0.788,131.948,Bad Decisions
124,Ariana Grande,Ariana Grande,2016,0.536,0.694,7,-4.369,0,0.0332,0.0303,0,0.183,0.291,100.906,Touch It
125,Ariana Grande,Ariana Grande,2016,0.484,0.381,6,-6.705,1,0.0711,0.235,3.6E-06,0.0998,0.372,106.65,Knew Better / Forever Boy
126,Ariana Grande,Ariana Grande,2016,0.507,0.696,11,-6.027,1,0.0621,0.0152,0.000821,0.121,0.406,102.983,Thinking Bout You
127,Ariana Grande,Ariana Grande,2016,0.662,0.877,5,-4.185,0,0.112,0.0874,0,0.273,0.545,110.905,Step On Up
128,Ariana Grande,Ariana Grande,2016,0.65,0.655,7,-4.307,0,0.0631,0.45,3.13E-05,0.073,0.562,105.95,Jason's Song (Gave It Away)
129,Ariana Grande,Ariana Grande,2014,0.447,0.182,6,-12.439,1,0.0324,0.969,3.83E-05,0.327,0.096,89.814,Intro
130,Ariana Grande,Ariana Grande,2014,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.008,Problem
131,Ariana Grande,Ariana Grande,2014,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,One Last Time
132,Ariana Grande,Ariana Grande,2014,0.443,0.663,8,-5.946,0,0.0432,0.0494,0,0.153,0.331,159.856,Why Try
133,Ariana Grande,Ariana Grande,2014,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35E-05,0.204,0.284,129.956,Break Free
134,Ariana Grande,Ariana Grande,2014,0.654,0.578,6,-6.897,1,0.449,0.546,0,0.112,0.233,143.867,Best Mistake
135,Ariana Grande,Ariana Grande,2014,0.622,0.586,3,-6.241,0,0.0356,0.0735,7.41E-06,0.0803,0.434,145.08,Be My Baby
136,Ariana Grande,Ariana Grande,2014,0.726,0.605,6,-5.673,1,0.0628,0.0113,0,0.0639,0.588,93.93,Break Your Heart Right Back
137,Ariana Grande,Ariana Grande,2014,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,Love Me Harder
138,Ariana Grande,Ariana Grande,2014,0.439,0.322,9,-5.959,1,0.028,0.692,0,0.103,0.16,77.963,Just A Little Bit Of Your Heart
139,Ariana Grande,Ariana Grande,2014,0.662,0.766,7,-5.694,1,0.0377,0.214,0,0.324,0.376,97.959,Hands On Me
140,Ariana Grande,Ariana Grande,2014,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,My Everything
141,Ariana Grande,Ariana Grande,2014,0.703,0.747,0,-4.446,0,0.0895,0.283,0,0.396,0.7,149.974,Bang Bang
142,Ariana Grande,Ariana Grande,2014,0.656,0.842,0,-5.714,1,0.24,0.5,0,0.0787,0.384,101.364,Only 1
143,Ariana Grande,Ariana Grande,2014,0.381,0.631,0,-5.886,1,0.262,0.0453,0,0.129,0.37,170.187,You Don't Know Me
144,Ariana Grande,Ariana Grande,2013,0.692,0.608,8,-5.233,0,0.041,0.218,0,0.348,0.448,125.005,Honeymoon Avenue
145,Ariana Grande,Ariana Grande,2013,0.724,0.796,1,-3.686,1,0.0328,0.0152,0,0.354,0.542,101.975,Baby I
146,Ariana Grande,Ariana Grande,2013,0.621,0.834,7,-3.166,1,0.105,0.127,0,0.0854,0.561,156.099,Right There
147,Ariana Grande,Ariana Grande,2013,0.535,0.519,7,-4.161,1,0.0273,0.414,0,0.142,0.32,72.06,Tattooed Heart
148,Ariana Grande,Ariana Grande,2013,0.624,0.825,6,-3.841,0,0.0422,0.115,0,0.276,0.428,93.996,Lovin' It
149,Ariana Grande,Ariana Grande,2013,0.738,0.804,1,-4.286,0,0.0815,0.164,0,0.826,0.725,120.017,Piano
150,Ariana Grande,Ariana Grande,2013,0.675,0.648,7,-6.003,1,0.0317,0.234,0,0.561,0.322,114.051,Daydreamin'
151,Ariana Grande,Ariana Grande,2013,0.645,0.878,5,-3.208,0,0.113,0.294,0,0.076,0.862,82.324,The Way
152,Ariana Grande,Ariana Grande,2013,0.764,0.842,6,-3.835,1,0.059,0.0546,0,0.0351,0.869,105.015,You’ll Never Know
153,Ariana Grande,Ariana Grande,2013,0.324,0.327,2,-7.494,1,0.0409,0.825,0,0.101,0.334,81.328,Almost Is Never Enough
154,Ariana Grande,Ariana Grande,2013,0.666,0.81,8,-4.574,1,0.0458,0.152,0,0.0613,0.811,99.023,Popular Song
155,Ariana Grande,Ariana Grande,2013,0.594,0.83,9,-4.024,1,0.0328,0.0397,0.000145,0.104,0.283,129.998,Better Left Unsaid
156,David Hallyday,David Hallyday,2020,0.497,0.842,7,-7.043,0,0.0392,0.0789,0,0.149,0.263,125.008,Imagine un monde
157,David Hallyday,David Hallyday,2020,0.513,0.862,4,-6.109,0,0.0377,0.00408,0,0.314,0.361,129.962,Hallucinogène
158,David Hallyday,David Hallyday,2020,0.574,0.742,7,-6.279,0,0.03,0.186,2.37E-06,0.158,0.216,147.026,Ensemble et maintenant
159,David Hallyday,David Hallyday,2020,0.551,0.947,2,-5.561,0,0.0437,0.0077,0,0.28,0.35,119.95,Ciel et terre
160,David Hallyday,David Hallyday,2020,0.527,0.741,7,-6.782,1,0.0309,0.17,4.1E-05,0.485,0.279,100.036,Qu'est-ce qu'on fait de nous
161,David Hallyday,David Hallyday,2020,0.314,0.88,9,-5.235,1,0.0518,0.012,0,0.0949,0.148,175.072,Personne n'est fait pour être seul
162,David Hallyday,David Hallyday,2020,0.512,0.87,1,-5.895,0,0.0316,0.0202,0,0.349,0.443,89.944,Le huitième pêché
163,David Hallyday,David Hallyday,2020,0.468,0.895,5,-3.936,0,0.0434,0.0264,0,0.376,0.547,75.043,Vis tes rêves
164,David Hallyday,David Hallyday,2020,0.386,0.92,5,-4.472,1,0.051,0.000686,4.51E-06,0.0469,0.462,180.129,Pourquoi l'amour est si fragile
165,David Hallyday,David Hallyday,2020,0.477,0.849,0,-6.994,1,0.0413,0.0736,0,0.168,0.232,139.907,Superstar
166,David Hallyday,David Hallyday,2020,0.462,0.726,7,-6.31,1,0.0323,0.0245,3.24E-06,0.0748,0.308,80.053,Les jours d'après
167,David Hallyday,David Hallyday,2018,0.597,0.481,5,-9.5,0,0.0329,0.00979,0,0.197,0.184,88.027,J'ai quelque chose à vous dire
168,David Hallyday,David Hallyday,2018,0.639,0.913,8,-5.273,1,0.0269,0.00054,1.09E-05,0.108,0.604,110.001,À toi je pardonne
169,David Hallyday,David Hallyday,2018,0.228,0.521,7,-7.492,1,0.0305,0.0367,0,0.0931,0.132,167.504,Ma dernière lettre
170,David Hallyday,David Hallyday,2018,0.545,0.811,1,-5.957,0,0.032,0.00273,0,0.106,0.377,135.979,Le nerf de la guerre
171,David Hallyday,David Hallyday,2018,0.542,0.631,1,-6.003,1,0.0294,0.0747,0,0.256,0.236,87.003,En vie
172,David Hallyday,David Hallyday,2018,0.392,0.408,3,-10.293,1,0.0347,0.0975,1.22E-06,0.109,0.152,90.767,Seul au monde
173,David Hallyday,David Hallyday,2018,0.614,0.73,5,-6.042,1,0.0322,0.0191,0,0.346,0.339,117.9,Éternel
174,David Hallyday,David Hallyday,2018,0.528,0.809,5,-5.834,0,0.031,0.0039,0,0.0955,0.615,130.988,Mauvais choix
175,David Hallyday,David Hallyday,2018,0.698,0.798,0,-5.466,0,0.0261,0.0067,0,0.138,0.641,111.008,Rappelle-moi de t'oublier
176,David Hallyday,David Hallyday,2018,0.453,0.74,1,-6.211,1,0.0316,0.0216,0,0.0914,0.305,77.502,Jamais dire jamais
177,David Hallyday,David Hallyday,2018,0.49,0.765,7,-5.051,0,0.026,0.00761,0,0.102,0.409,85.003,My Reflexion
178,David Hallyday,David Hallyday,2016,0.465,0.698,0,-6.132,0,0.0332,0.643,0,0.163,0.423,153.05,Comme avant
179,David Hallyday,David Hallyday,2016,0.506,0.793,9,-5.633,0,0.0843,0.0476,1.55E-06,0.131,0.638,158.306,Sur mes épaules
180,David Hallyday,David Hallyday,2016,0.391,0.556,5,-6.586,0,0.03,0.0466,2.19E-05,0.121,0.126,137.117,Des portes entre nous
181,David Hallyday,David Hallyday,2016,0.614,0.697,10,-4.873,1,0.0269,0.114,0,0.182,0.389,102.085,Infiniment seuls
182,David Hallyday,David Hallyday,2016,0.346,0.574,1,-4.669,1,0.0328,0.65,0.00057,0.0854,0.221,121.962,Le temps d'une vie
183,David Hallyday,David Hallyday,2016,0.281,0.58,2,-6.153,1,0.0326,0.627,0.000274,0.101,0.362,179.262,Personne
184,David Hallyday,David Hallyday,2016,0.329,0.714,1,-5.216,1,0.0341,0.0296,0,0.0861,0.238,199.993,La nuit des temps
185,David Hallyday,David Hallyday,2016,0.345,0.751,8,-5.997,1,0.0588,0.0544,0,0.253,0.352,194.06,Devant le miroir
186,David Hallyday,David Hallyday,2016,0.654,0.721,0,-5.546,1,0.0336,0.00128,0.000156,0.346,0.531,115.009,Dis-les moi
187,David Hallyday,David Hallyday,2016,0.516,0.661,8,-5.866,1,0.0251,0.565,0,0.157,0.34,97.501,Le 6ème sens
188,David Hallyday,David Hallyday,2007,0.556,0.824,5,-5.616,0,0.0264,0.0207,0.000836,0.255,0.77,110.019,Steve McQueen
189,David Hallyday,David Hallyday,2007,0.424,0.709,1,-5.427,1,0.0271,0.0218,3.12E-05,0.108,0.236,162.125,Tendre est la nuit
190,David Hallyday,David Hallyday,2007,0.448,0.534,9,-8.717,1,0.0267,0.0664,1.72E-06,0.334,0.309,164.076,Dernier message vers la Terre
191,David Hallyday,David Hallyday,2007,0.533,0.786,2,-4.928,1,0.0311,0.00407,0.000223,0.0992,0.351,129.967,Père de personne
192,David Hallyday,David Hallyday,2007,0.514,0.766,10,-5.863,0,0.0266,0.000117,0.391,0.282,0.352,102.981,Sous les vagues
193,David Hallyday,David Hallyday,2007,0.511,0.522,0,-7.166,0,0.025,0.0543,0.000186,0.116,0.245,77.494,Dis-moi
194,David Hallyday,David Hallyday,2007,0.459,0.64,3,-4.814,0,0.0281,0.000934,0,0.13,0.236,135.928,Je ne me reconnais pas
195,David Hallyday,David Hallyday,2007,0.521,0.555,2,-6.279,1,0.0281,0.0293,0.000906,0.152,0.29,120.088,Une nuit près de toi
